treatment,day,mg13Cinsoil,recipro.mg13C
SS,0,8.88,0.112612613
SS,7,8.058213975,0.124096978
SS,14,3.633716015,0.275200372
SS,30,2.519577249,0.396891979
PS,0,8.88,0.112612613
PS,3,7.873049862,0.127015581
PS,7,7.00068286,0.142843208
PS,14,5.536874212,0.180607318
PS,30,3.532530351,0.283083201
