Phylum,Counts,Treatment
Acidobacteria,1,13CCSS
Bacteroidetes,2,13CCSS
Chloroflexi,3,13CCSS
Cyanobacteria,0,13CCSS
Planctomycetes,1,13CCSS
Proteobacteria,16,13CCSS
Spirochaetes,1,13CCSS
Verrucomicrobia,5,13CCSS
Acidobacteria,0,13CCPS
Bacteroidetes,1,13CCPS
Chloroflexi,3,13CCPS
Cyanobacteria,1,13CCPS
Planctomycetes,3,13CCPS
Proteobacteria,4,13CCPS
Verrucomicrobia,6,13CCPS
Spirochaetes,0,13CCPS
