OTU,shift,Day,Treatment
OTU.3019,-0.009678109506496835,30,13CCSS
OTU.3548,,30,13CCSS
OTU.3549,,30,13CCSS
OTU.3012,,30,13CCSS
OTU.3013,-0.028615042372057253,30,13CCSS
OTU.3546,,30,13CCSS
OTU.3547,,30,13CCSS
OTU.3540,0.014425394323281049,30,13CCSS
OTU.3541,,30,13CCSS
OTU.3014,0.0071820398044870615,30,13CCSS
OTU.3015,0.020251352210711282,30,13CCSS
OTU.199,-0.0032833152611797534,30,13CCSS
OTU.198,-0.0018587000232992423,30,13CCSS
OTU.195,-0.00674983865764589,30,13CCSS
OTU.194,0.015942911035053076,30,13CCSS
OTU.197,0.00032645535172792783,30,13CCSS
OTU.196,0.0019914345832370284,30,13CCSS
OTU.191,-0.011078897937663035,30,13CCSS
OTU.190,-0.011498444776113947,30,13CCSS
OTU.193,-0.005948857914978012,30,13CCSS
OTU.192,-0.0011241989730077506,30,13CCSS
OTU.2923,0.0012556468973394797,30,13CCSS
OTU.995,0.004197549087870733,30,13CCSS
OTU.994,-0.011049623058684066,30,13CCSS
OTU.997,0.016713091939208446,30,13CCSS
OTU.996,-0.00798117555512401,30,13CCSS
OTU.991,-0.0061803890402503114,30,13CCSS
OTU.990,-0.01077199694892328,30,13CCSS
OTU.993,0.025318023264661482,30,13CCSS
OTU.992,0.016989184546485125,30,13CCSS
OTU.999,0.006425205076132867,30,13CCSS
OTU.998,-0.011742427278405021,30,13CCSS
OTU.915,0.015482190396813644,30,13CCSS
OTU.914,-0.009618220151908163,30,13CCSS
OTU.2769,0.009281219204206437,30,13CCSS
OTU.2768,,30,13CCSS
OTU.2763,-0.022634304241880177,30,13CCSS
OTU.2762,-0.020553794237799572,30,13CCSS
OTU.2761,,30,13CCSS
OTU.2760,-0.005708167349308679,30,13CCSS
OTU.2767,-0.016134635112807105,30,13CCSS
OTU.2766,,30,13CCSS
OTU.2765,,30,13CCSS
OTU.2764,,30,13CCSS
OTU.917,0.007345528857641392,30,13CCSS
OTU.1942,-0.008180619392423427,30,13CCSS
OTU.1943,0.0030979742877716987,30,13CCSS
OTU.1940,0.015535257059212437,30,13CCSS
OTU.1941,-0.009000936718280395,30,13CCSS
OTU.1946,,30,13CCSS
OTU.1947,0.006306100932110148,30,13CCSS
OTU.1944,,30,13CCSS
OTU.1945,-0.0474278544542035,30,13CCSS
OTU.1948,0.0001609950507897029,30,13CCSS
OTU.1949,-0.0028146585369863697,30,13CCSS
OTU.2927,,30,13CCSS
OTU.6031,,30,13CCSS
OTU.5083,0.016853905585568763,30,13CCSS
OTU.5082,-0.006637711061476814,30,13CCSS
OTU.5081,,30,13CCSS
OTU.5080,-0.008921516133225005,30,13CCSS
OTU.5087,,30,13CCSS
OTU.5086,,30,13CCSS
OTU.5085,0.035376014828650826,30,13CCSS
OTU.5084,,30,13CCSS
OTU.5089,,30,13CCSS
OTU.5088,-0.023461186284726043,30,13CCSS
OTU.2926,0.0015706620459285947,30,13CCSS
OTU.911,,30,13CCSS
OTU.6030,,30,13CCSS
OTU.6178,,30,13CCSS
OTU.910,-0.003572465547876824,30,13CCSS
OTU.6037,,30,13CCSS
OTU.913,0.0259317151329419,30,13CCSS
OTU.4688,,30,13CCSS
OTU.4689,,30,13CCSS
OTU.4686,,30,13CCSS
OTU.4687,,30,13CCSS
OTU.4684,,30,13CCSS
OTU.4685,,30,13CCSS
OTU.4682,-0.009653327290206182,30,13CCSS
OTU.4683,,30,13CCSS
OTU.4680,,30,13CCSS
OTU.4681,0.005222761411777244,30,13CCSS
OTU.912,0.008245042544532177,30,13CCSS
OTU.6035,,30,13CCSS
OTU.815,-0.004967390815515449,30,13CCSS
OTU.4354,,30,13CCSS
OTU.4355,-0.05036694601686209,30,13CCSS
OTU.4356,-0.01218492472281918,30,13CCSS
OTU.4357,,30,13CCSS
OTU.4350,0.013327932951807231,30,13CCSS
OTU.4351,,30,13CCSS
OTU.4352,,30,13CCSS
OTU.4353,,30,13CCSS
OTU.4358,,30,13CCSS
OTU.4359,,30,13CCSS
OTU.4239,0.03913171386111336,30,13CCSS
OTU.4238,0.013101308896956265,30,13CCSS
OTU.4237,-0.03292389529790807,30,13CCSS
OTU.4236,,30,13CCSS
OTU.1315,-0.015809081383788337,30,13CCSS
OTU.1314,,30,13CCSS
OTU.1313,0.012469121646735637,30,13CCSS
OTU.4232,,30,13CCSS
OTU.4231,0.044451147095630805,30,13CCSS
OTU.4230,0.0008005661060732638,30,13CCSS
OTU.2998,,30,13CCSS
OTU.2999,,30,13CCSS
OTU.2990,,30,13CCSS
OTU.2991,,30,13CCSS
OTU.2992,-0.00937555725923045,30,13CCSS
OTU.2993,-0.0114282736447342,30,13CCSS
OTU.2994,,30,13CCSS
OTU.2995,-0.015529463374787111,30,13CCSS
OTU.2996,,30,13CCSS
OTU.2997,,30,13CCSS
OTU.3225,,30,13CCSS
OTU.3224,0.007389481671773446,30,13CCSS
OTU.3227,,30,13CCSS
OTU.3226,,30,13CCSS
OTU.3221,,30,13CCSS
OTU.3220,0.004807890494463285,30,13CCSS
OTU.3223,,30,13CCSS
OTU.3222,0.025221823681485622,30,13CCSS
OTU.3229,0.0034495790504032176,30,13CCSS
OTU.3228,,30,13CCSS
OTU.4901,,30,13CCSS
OTU.2577,,30,13CCSS
OTU.2574,,30,13CCSS
OTU.4902,,30,13CCSS
OTU.4905,,30,13CCSS
OTU.4904,,30,13CCSS
OTU.2570,,30,13CCSS
OTU.4906,,30,13CCSS
OTU.4909,,30,13CCSS
OTU.4908,,30,13CCSS
OTU.2578,0.02941577703779852,30,13CCSS
OTU.2579,,30,13CCSS
OTU.3481,0.017577770957198258,30,13CCSS
OTU.1991,,30,13CCSS
OTU.3483,,30,13CCSS
OTU.3482,,30,13CCSS
OTU.3485,,30,13CCSS
OTU.3484,-0.015510521786990417,30,13CCSS
OTU.3487,,30,13CCSS
OTU.3486,,30,13CCSS
OTU.3489,-0.00012417450611468261,30,13CCSS
OTU.3488,0.009843158722095957,30,13CCSS
OTU.1993,,30,13CCSS
OTU.506,,30,13CCSS
OTU.507,0.019615690961080512,30,13CCSS
OTU.504,0.008451422881163628,30,13CCSS
OTU.1992,0.010996560808433697,30,13CCSS
OTU.502,-0.015161904750858657,30,13CCSS
OTU.503,0.004785062788923433,30,13CCSS
OTU.500,-0.023701042823244256,30,13CCSS
OTU.501,-0.0016535084250370868,30,13CCSS
OTU.1995,,30,13CCSS
OTU.508,-0.005824783494183805,30,13CCSS
OTU.1994,,30,13CCSS
OTU.4745,,30,13CCSS
OTU.1996,-0.0012933863131248113,30,13CCSS
OTU.1887,0.0110033102642626,30,13CCSS
OTU.1886,0.018143764715582433,30,13CCSS
OTU.1885,0.015576569195956846,30,13CCSS
OTU.1884,0.012360124673288508,30,13CCSS
OTU.1883,-0.06263157894736837,30,13CCSS
OTU.1882,,30,13CCSS
OTU.1881,,30,13CCSS
OTU.1880,0.002052837866930002,30,13CCSS
OTU.5610,-0.009458852426000197,30,13CCSS
OTU.1889,-0.013173900884863698,30,13CCSS
OTU.1888,0.00420392035095829,30,13CCSS
OTU.6217,,30,13CCSS
OTU.6216,,30,13CCSS
OTU.6215,,30,13CCSS
OTU.5611,,30,13CCSS
OTU.6213,,30,13CCSS
OTU.6212,,30,13CCSS
OTU.6211,,30,13CCSS
OTU.6210,,30,13CCSS
OTU.2644,-0.0038896625272568652,30,13CCSS
OTU.6219,,30,13CCSS
OTU.5617,,30,13CCSS
OTU.762,-0.01939883062447212,30,13CCSS
OTU.763,-0.00010587261930306013,30,13CCSS
OTU.760,0.011327078163918092,30,13CCSS
OTU.761,-0.01024893666938076,30,13CCSS
OTU.2688,0.011171953363514175,30,13CCSS
OTU.2689,-0.0008683973289742575,30,13CCSS
OTU.764,-0.01633565879327259,30,13CCSS
OTU.765,-0.01465646243937635,30,13CCSS
OTU.2684,,30,13CCSS
OTU.2685,,30,13CCSS
OTU.2686,0.008945553003386841,30,13CCSS
OTU.2687,,30,13CCSS
