treatment,day,mg13Cp.u.t.,mg13Cnorm
SS,7,0.821786025,0.117398004
SS,14,4.42449796,0.632071137
SS,30,1.114138766,0.07958134
PS,3,1.006950138,0.335650046
PS,7,0.872367002,0.218091751
PS,14,1.463808648,0.209115521
PS,30,2.004343861,0.143167419
