"sparsity_threshold","Day","Treatment","OTU","log2FoldChange","p","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","padj"
0.55,30,"13CCSS","OTU.393",0.315648655287236,0.87798216515849,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","AKYH767","uncultured_bacterium",NA,NA,1
0.55,30,"13CCSS","OTU.329",-0.120286493315054,0.991779879240358,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","AKYH767","uncultured_bacterium",NA,NA,1
0.55,30,"13CCSS","OTU.147",0.700490523643283,0.549491259859244,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.419",0.570875285522244,0.692582425467208,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.220",0.701610694315402,0.550490696192785,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured",NA,NA,1
0.55,30,"13CCSS","OTU.5980",0.722935806899814,0.529270047127369,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.430",0.0548310776121052,0.962949468630356,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.72",0.940408106291681,0.290258784603963,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.60",-0.195311834025095,0.992265443358146,"Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Flavobacterium","uncultured_Bacteroidetes_bacterium",NA,1
0.55,30,"13CCSS","OTU.2379",0.198141844475354,0.902719776120007,"Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Flavobacterium","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.1186",1.13948952424186,0.159769011508533,"Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,NA,1
0.55,30,"13CCSS","OTU.95",-0.703060336518559,0.999788732380754,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Adhaeribacter",NA,NA,1
0.55,30,"13CCSS","OTU.305",-0.142952113448305,0.994636581046162,"Bacteria","Candidate_division_WS3","uncultured_bacterium",NA,NA,NA,NA,NA,1
0.55,30,"13CCSS","OTU.649",-0.0278552333130385,0.969417000333263,"Bacteria","Candidate_division_WS3","uncultured_bacterium",NA,NA,NA,NA,NA,1
0.55,30,"13CCSS","OTU.294",-0.37243640782492,0.99912780175577,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Nitrospinaceae","uncultured","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.650",-0.555116658382321,0.999678950155289,"Bacteria","Planctomycetes","OM190","uncultured_bacterium",NA,NA,NA,NA,1
0.55,30,"13CCSS","OTU.1281",-0.233316121150266,0.99141250722323,"Bacteria","Planctomycetes","OM190","uncultured_bacterium",NA,NA,NA,NA,1
0.55,30,"13CCSS","OTU.695",1.20618454543166,0.136431289889833,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pirellula","uncultured_bacterium",NA,1
