"log2FoldChange","p","Day","OTU","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","p.adj"
1.7501072720663,0.0167926895171673,7,"OTU.90","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae",NA,NA,0.143976665860304
0.316681154031347,0.85201909034831,7,"OTU.261","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,1
-2.53302839374957,1,7,"OTU.12862","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Volutella",NA,1
3.62944891985096,2.63316726001375e-10,7,"OTU.2074","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Arthrobotrys","s__Arthrobotrys_oligospora",1.10171718158975e-08
-0.873165130267403,0.999210148858007,7,"OTU.87","k__Fungi","p__Zygomycota","c__Incertae_sedis","o__Mucorales","f__Mucoraceae","g__Mucor",NA,1
-0.255980894142358,0.995640141780413,7,"OTU.38","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Bionectria","s__Bionectria_ochroleuca",1
-0.848380229266988,0.999968983212829,7,"OTU.95","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",1
-1.13548939226452,0.999897580036636,7,"OTU.78","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Coprinaceae","g__Coprinus","s__Coprinus_cordisporus",1
-0.786386692984191,0.999977977212931,7,"OTU.124","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",1
-0.327831630561625,0.997910686277744,7,"OTU.60","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Incertae_sedis","f__Incertae_sedis","g__Myrmecridium",NA,1
2.89486889317229,2.85122568356443e-05,7,"OTU.2502","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,0.000484940173172097
2.22506228776319,0.00374302512629073,7,"OTU.10507","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Incertae_sedis","f__Plectosphaerellaceae","g__Verticillium","s__Verticillium_dahliae",0.0365906942252346
-1.3074270319387,0.999999919908061,7,"OTU.230","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Incertae_sedis","f__Myxotrichaceae",NA,NA,1
-1.42435525908218,0.999999999998422,7,"OTU.39","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium",NA,1
0.460739010724065,0.767301048171859,7,"OTU.24","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Cercospora",NA,1
-0.133406051600642,0.973958415000771,7,"OTU.92","k__Fungi","p__Ascomycota","c__Incertae_sedis","o__Incertae_sedis","f__Incertae_sedis","g__Dokmaia",NA,1
-0.625198919669374,0.996863667096547,7,"OTU.366","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",1
-0.781094321064677,0.999870556668098,7,"OTU.948","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",1
-1.27396895448134,0.999992371173476,7,"OTU.228","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",1
4.36941307159639,1.05255784113267e-10,7,"OTU.17693","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Humicola",NA,4.7868500079338e-09
-0.19656558835285,0.984980960462364,7,"OTU.8693","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",1
-0.246648656529647,0.980273767620796,7,"OTU.103","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA,1
-0.510753637483676,0.996118649086438,7,"OTU.522","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,1
0.483931667040855,0.741641374001473,7,"OTU.70","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,1
0.0620089976602175,0.913892588813008,7,"OTU.446","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",1
-0.338373233622106,0.985708024977662,7,"OTU.93","k__Fungi",NA,NA,NA,NA,NA,NA,1
0.161423650470316,0.918667332675431,7,"OTU.73","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__unidentified","g__unidentified","s__Hypocreales_sp_GMG_PPb3",1
-0.400124805699259,0.994819544298495,7,"OTU.110","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma",NA,1
-1.02054098485488,0.999999667485731,7,"OTU.84","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,1
3.00546990158514,1.41877236691551e-06,7,"OTU.49","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Chaetomium",NA,2.93868494216559e-05
2.86601628606774,6.48741182831952e-05,7,"OTU.5437","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Chaetomium","s__Chaetomium_globosum",0.00103600500342324
-0.705499192828513,0.999860343932454,7,"OTU.19420","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,1
-0.310064999987884,0.999919759344936,7,"OTU.108","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Paecilomyces","s__Paecilomyces_marquandii",1
-0.265757268326701,0.964596923710685,7,"OTU.379","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae",NA,NA,1
-0.245560955330046,0.99219674863083,7,"OTU.152","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Cryptococcus","s__Cryptococcus_luteolus",1
-1.2629697643871,0.999985887769959,7,"OTU.452","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,1
-1.10039196355414,0.999999225839228,7,"OTU.166","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae",NA,NA,1
2.72162248228164,0.00100366937010278,7,"OTU.15817","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Chaetomium","s__Chaetomium_globosum",0.0119299791037217
4.61959986855991,1.29861465444402e-23,7,"OTU.5490","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Incertae_sedis","f__Plectosphaerellaceae","g__Plectosphaerella",NA,2.71670185709688e-21
-0.146915030234856,0.99587832938058,7,"OTU.126","k__Fungi","p__Ascomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedAscomycota",1
-0.808950086868433,0.999725074823175,7,"OTU.121","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",1
-2.49857819756205,0.99999999999999,7,"OTU.83","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,1
0.235821619349551,0.942989774890146,7,"OTU.55","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Cryptococcus",NA,1
-1.43529379110385,0.999999995002964,7,"OTU.54","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,1
-0.509540453052211,0.998871011993641,7,"OTU.118","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",1
