sparsity_threshold,Day,Treatment,OTU,log2FoldChange,p,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Rank8,padj
0.55,30,SS,OTU.277,1.052090105,0.224181907,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured,NA,NA,1
0.55,30,SS,OTU.360,0.405013374,0.814881807,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,NA,NA,1
0.55,30,SS,OTU.275,-0.159705215,0.986842358,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,uncultured_bacterium,NA,1
0.55,30,SS,OTU.393,0.315648655,0.877982165,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,AKYH767,uncultured_bacterium,NA,NA,1
0.55,30,SS,OTU.329,-0.120286493,0.991779879,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,AKYH767,uncultured_bacterium,NA,NA,1
0.55,30,SS,OTU.147,0.700490524,0.54949126,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,uncultured_bacterium,NA,1
0.55,30,SS,OTU.419,0.570875286,0.692582425,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured,uncultured_bacterium,NA,1
0.55,30,SS,OTU.220,0.701610694,0.550490696,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured,NA,NA,1
0.55,30,SS,OTU.5980,0.722935807,0.529270047,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured,uncultured_bacterium,NA,1
0.55,30,SS,OTU.430,0.054831078,0.962949469,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured,uncultured_bacterium,NA,1
0.55,30,SS,OTU.72,0.940408106,0.290258785,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured,uncultured_bacterium,NA,1
0.55,30,SS,OTU.60,-0.195311834,0.992265443,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,uncultured_Bacteroidetes_bacterium,NA,1
0.55,30,SS,OTU.2379,0.198141844,0.902719776,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,uncultured_bacterium,NA,1
0.55,30,SS,OTU.1186,1.139489524,0.159769012,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA,NA,1
0.55,30,SS,OTU.95,-0.703060337,0.999788732,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,NA,NA,1
0.55,30,SS,OTU.305,-0.142952113,0.994636581,Bacteria,Candidate_division_WS3,uncultured_bacterium,NA,NA,NA,NA,NA,1
0.55,30,SS,OTU.649,-0.027855233,0.969417,Bacteria,Candidate_division_WS3,uncultured_bacterium,NA,NA,NA,NA,NA,1
0.55,30,SS,OTU.294,-0.372436408,0.999127802,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Nitrospinaceae,uncultured,uncultured_bacterium,NA,1
0.55,30,SS,OTU.650,-0.555116658,0.99967895,Bacteria,Planctomycetes,OM190,uncultured_bacterium,NA,NA,NA,NA,1
