treatment,day,mg13C,site,pct.C
SS,7,8.058213975,soil,90.74565287
SS,14,3.633716015,soil,40.92022539
SS,30,2.519577249,soil,28.37361767
PS,7,7.00068286,soil,78.83651869
PS,14,5.536874212,soil,62.35218707
PS,30,3.532530351,soil,39.7807472
SS,7,0.821786025,gas,9.254347128
SS,14,5.246283985,gas,59.07977461
SS,30,6.360422751,gas,71.62638233
PS,7,1.87931714,gas,21.16348131
PS,14,3.343125788,gas,37.64781293
PS,30,5.347469649,gas,60.2192528
