usearch v7.0.1090_i86linux32, 4.0Gb RAM (132Gb total), 40 cores
usearch -fastq_stats data/ABCD_combined_reads.fastq -log data/fastq_stats.log 
Started Thu Jan 16 08:25:28 2014

Read length distribution
      L           N      Pct   AccPct
  182    99.9%  37.1   0.0002   0.00223   0.24   0.001336    0.134%
  183    99.9%  37.0   0.0002   0.00236   0.25   0.001342    0.134%
  184    99.9%  37.4   0.0002   0.00224   0.25   0.001346    0.135%
  185    99.9%  37.7  0.00016   0.00205   0.25   0.001350    0.135%
  186    99.9%  37.8  0.00016     0.002   0.25   0.001353    0.135%
  187    99.9%  37.6  0.00016   0.00203   0.25   0.001357    0.136%
  188    99.9%  37.4   0.0002   0.00211   0.26   0.001361    0.136%
  189    99.9%  36.9   0.0002   0.00217   0.26   0.001365    0.136%
  190    99.9%  36.6   0.0002   0.00229   0.26   0.001370    0.137%
  191    99.9%  35.4  0.00032   0.00276   0.26   0.001377    0.138%
  192    99.9%  35.4  0.00032   0.00293   0.27   0.001385    0.138%
  193    99.9%  35.3  0.00032   0.00307   0.27   0.001393    0.139%
  194    99.9%  35.7  0.00025   0.00303   0.27   0.001402    0.140%
  195    99.9%  36.3  0.00025    0.0028   0.27   0.001409    0.141%
  196    99.9%  36.3  0.00025    0.0028   0.28   0.001415    0.142%
  197    99.9%  36.7   0.0002   0.00272   0.28   0.001422    0.142%
  198    99.9%  36.7   0.0002    0.0027   0.28   0.001428    0.143%
  199    99.9%  36.6   0.0002    0.0027   0.29   0.001435    0.143%
  200    99.9%  37.1   0.0002    0.0025   0.29   0.001440    0.144%
  201    99.9%  36.7   0.0002   0.00284   0.29   0.001447    0.145%
  202    99.9%  34.8  0.00032    0.0036   0.29   0.001457    0.146%
  203    99.9%  34.6  0.00032   0.00374   0.30   0.001468    0.147%
  204    99.9%  34.1   0.0004   0.00411   0.30   0.001481    0.148%
  205    99.9%  33.4   0.0005   0.00435   0.31   0.001494    0.149%
  206    99.9%  33.4   0.0005   0.00448   0.31   0.001509    0.151%
  207    99.9%  33.5   0.0004   0.00444   0.32   0.001523    0.152%
  208    99.9%  33.8   0.0004   0.00435   0.32   0.001536    0.154%
  209    99.9%  35.4  0.00032   0.00386   0.32   0.001547    0.155%
  210    99.9%  34.2   0.0004   0.00395   0.33   0.001559    0.156%
  211    99.8%  34.1   0.0004   0.00394   0.33   0.001570    0.157%
  212    99.8%  34.3   0.0004   0.00381   0.33   0.001580    0.158%
  213    99.8%  36.6   0.0002   0.00314   0.34   0.001587    0.159%
  214    99.8%  37.1   0.0002   0.00288   0.34   0.001593    0.159%
  215    99.8%  36.4  0.00025   0.00318   0.34   0.001601    0.160%
  216    99.8%  36.3  0.00025   0.00316   0.35   0.001608    0.161%
  217    99.8%  36.1  0.00025   0.00316   0.35   0.001615    0.161%
  218    99.8%  36.1  0.00025   0.00313   0.35   0.001622    0.162%
  219    99.8%  36.6   0.0002    0.0029   0.36   0.001627    0.163%
  220    99.8%  37.1   0.0002   0.00253   0.36   0.001631    0.163%
  221    99.8%  37.3   0.0002   0.00238   0.36   0.001634    0.163%
  222    99.8%  37.0   0.0002   0.00258   0.36   0.001639    0.164%
  223    99.8%  37.0   0.0002   0.00244   0.37   0.001642    0.164%
  224    99.8%  37.0   0.0002   0.00246   0.37   0.001646    0.165%
  225    99.8%  36.9   0.0002   0.00262   0.37   0.001650    0.165%
  226    99.8%  36.8   0.0002   0.00269   0.37   0.001654    0.165%
  227    99.8%  36.6   0.0002   0.00275   0.38   0.001659    0.166%
  228    99.8%  36.1  0.00025   0.00287   0.38   0.001665    0.166%
  229    99.8%  36.0  0.00025   0.00289   0.38   0.001670    0.167%
  230    99.8%  36.1  0.00025   0.00287   0.39   0.001675    0.167%
  231    99.8%  36.8   0.0002   0.00262   0.39   0.001679    0.168%
  232    99.8%  36.9   0.0002   0.00258   0.39   0.001683    0.168%
  233    99.8%  37.2   0.0002   0.00247   0.39   0.001686    0.169%
  234    99.8%  37.1   0.0002   0.00244   0.40   0.001689    0.169%
  235    99.8%  37.1   0.0002   0.00239   0.40   0.001692    0.169%
  236    99.8%  37.4   0.0002   0.00224   0.40   0.001694    0.169%
  237    99.8%  37.5  0.00016   0.00217   0.40   0.001696    0.170%
  238    99.8%  37.6  0.00016   0.00218   0.40   0.001698    0.170%
  239    99.8%  37.7  0.00016   0.00211   0.41   0.001700    0.170%
  240    99.8%  37.7  0.00016   0.00212   0.41   0.001702    0.170%
  241    99.8%  37.6  0.00016   0.00219   0.41   0.001703    0.170%
  242    99.8%  36.9   0.0002   0.00241   0.41   0.001706    0.171%
  243    99.8%  36.7   0.0002   0.00251   0.42   0.001710    0.171%
  244    99.8%  36.6   0.0002    0.0026   0.42   0.001713    0.171%
  245    99.8%  35.5  0.00025   0.00284   0.42   0.001717    0.172%
  246    99.8%  34.9  0.00032   0.00306   0.42   0.001723    0.172%
  247    99.8%  34.7  0.00032   0.00313   0.43   0.001728    0.173%
  248    99.8%  35.5  0.00025   0.00306   0.43   0.001734    0.173%
  249    99.8%  35.8  0.00025   0.00315   0.43   0.001739    0.174%
  250    99.8%  36.4  0.00025   0.00291   0.44   0.001744    0.174%
  251    99.8%  35.1  0.00032   0.00338   0.44   0.001751    0.175%
  252    99.8%  34.9  0.00032   0.00349   0.44   0.001757    0.176%
  253    99.8%  35.0  0.00032   0.00347   0.45   0.001764    0.176%
  254    99.8%  36.6   0.0002   0.00311   0.45   0.001769    0.177%
  255    99.8%  36.8   0.0002    0.0028   0.45   0.001773    0.177%
  256    99.8%  36.9   0.0002   0.00267   0.45   0.001777    0.178%
  257    99.8%  36.6   0.0002   0.00276   0.46   0.001780    0.178%
  258    99.8%  36.6   0.0002   0.00277   0.46   0.001784    0.178%
  259    99.8%  36.5  0.00025   0.00277   0.46   0.001788    0.179%
  260    99.8%  36.7   0.0002   0.00268   0.47   0.001791    0.179%
  261    99.8%  36.8   0.0002   0.00271   0.47   0.001795    0.179%
  262    99.8%  36.8   0.0002   0.00272   0.47   0.001798    0.180%
  263    99.8%  36.9   0.0002   0.00271   0.47   0.001801    0.180%
  264    99.8%  37.0   0.0002   0.00269   0.48   0.001805    0.180%
  265    99.8%  37.0   0.0002   0.00268   0.48   0.001808    0.181%
  266    99.8%  36.8   0.0002   0.00274   0.48   0.001812    0.181%
  267    99.8%  36.4  0.00025   0.00285   0.48   0.001815    0.182%
  268    99.8%  36.2  0.00025   0.00295   0.49   0.001819    0.182%
  269    99.8%  36.5   0.0002   0.00282   0.49   0.001823    0.182%
  270    99.8%  37.0   0.0002   0.00265   0.49   0.001826    0.183%
  271    99.8%  36.6   0.0002   0.00291   0.50   0.001830    0.183%
  272    99.8%  36.2  0.00025   0.00279   0.50   0.001833    0.183%
  273    99.8%  35.9  0.00025   0.00292   0.50   0.001837    0.184%
  274    99.8%  35.9  0.00025   0.00316   0.50   0.001842    0.184%
  275    99.8%  33.3   0.0005   0.00614   0.51   0.001858    0.186%
  276    99.8%  32.9   0.0005   0.00654   0.52   0.001875    0.187%
  277    99.8%  32.0  0.00063   0.00681   0.52   0.001892    0.189%
  278    99.8%  31.9  0.00063     0.007   0.53   0.001911    0.191%
  279    99.8%  32.0  0.00063   0.00708   0.54   0.001929    0.193%
  280    99.8%  34.7  0.00032   0.00699   0.55   0.001947    0.195%
  281    99.8%  33.7   0.0004   0.00726   0.55   0.001966    0.197%
  282    99.8%  32.4  0.00063   0.00795   0.56   0.001987    0.199%
  283    99.8%  34.6  0.00032   0.00463   0.57   0.001997    0.200%
  284    99.8%  35.0  0.00032   0.00394   0.57   0.002003    0.200%
  285    99.8%  36.0  0.00025   0.00352   0.57   0.002008    0.201%
  286    99.8%  36.4  0.00025   0.00334   0.58   0.002013    0.201%
  287    99.8%  36.5   0.0002   0.00324   0.58   0.002017    0.202%
  288    99.8%  36.6   0.0002   0.00324   0.58   0.002021    0.202%
  289    99.8%  36.6   0.0002   0.00328   0.59   0.002025    0.203%
  290    99.8%  36.6   0.0002   0.00334   0.59   0.002030    0.203%
  291    99.8%  36.6   0.0002   0.00339   0.59   0.002034    0.203%
  292    99.8%  35.6  0.00025   0.00359   0.60   0.002039    0.204%
  293    99.8%  35.5  0.00032   0.00334   0.60   0.002044    0.204%
  294    99.8%  35.6  0.00025    0.0032   0.60   0.002048    0.205%
  295    99.8%  36.5  0.00025   0.00292   0.60   0.002050    0.205%
  296    99.8%  36.9   0.0002   0.00286   0.61   0.002053    0.205%
  297    99.8%  37.2   0.0002    0.0028   0.61   0.002055    0.206%
  298    99.8%  37.3   0.0002   0.00282   0.61   0.002058    0.206%
  299    99.8%  37.2   0.0002   0.00279   0.62   0.002060    0.206%
  300    99.8%  37.0   0.0002   0.00296   0.62   0.002063    0.206%
  301    99.8%  37.0   0.0002   0.00301   0.62   0.002066    0.207%
  302    99.8%  37.2   0.0002     0.003   0.62   0.002068    0.207%
  303    99.8%  36.9   0.0002   0.00307   0.63   0.002071    0.207%
  304    99.8%  36.8   0.0002    0.0031   0.63   0.002073    0.207%
  305    99.8%  36.8   0.0002   0.00298   0.63   0.002075    0.208%
  306    99.8%  37.1   0.0002   0.00288   0.64   0.002077    0.208%
  307    99.8%  37.1   0.0002   0.00285   0.64   0.002079    0.208%
  308    99.8%  37.3   0.0002   0.00279   0.64   0.002080    0.208%
  309    99.8%  37.2   0.0002   0.00276   0.64   0.002082    0.208%
  310    99.8%  37.2   0.0002   0.00272   0.65   0.002083    0.208%
  311    99.8%  37.2   0.0002   0.00275   0.65   0.002084    0.208%
  312    99.8%  37.1   0.0002   0.00281   0.65   0.002085    0.209%
  313    99.7%  36.9   0.0002   0.00292   0.65   0.002087    0.209%
  314    99.7%  36.7   0.0002   0.00338   0.66   0.002090    0.209%
  315    99.7%  35.9  0.00025   0.00639   0.66   0.002102    0.210%
  316    99.7%  36.0  0.00025   0.00346   0.67   0.002105    0.211%
  317    99.7%  35.5  0.00032   0.00332   0.67   0.002107    0.211%
  318    99.7%  35.0  0.00032   0.00366   0.67   0.002110    0.211%
  319    99.7%  32.4  0.00063   0.00493   0.68   0.002117    0.212%
  320    99.7%  31.9  0.00063   0.00571   0.68   0.002127    0.213%
  321    99.7%  31.4  0.00079   0.00589   0.69   0.002136    0.214%
  322    99.7%  32.3  0.00063   0.00539   0.69   0.002143    0.214%
  323    99.7%  29.6    0.001   0.00731   0.70   0.002156    0.216%
  324    99.7%  30.1    0.001   0.00685   0.70   0.002166    0.217%
  325    99.6%  34.3   0.0004   0.00441   0.70   0.002168    0.217%
  326    99.6%  35.0  0.00032   0.00416   0.71   0.002169    0.217%
  327    99.6%  36.5  0.00025   0.00404   0.71   0.002169    0.217%
  328    99.5%  36.3  0.00025   0.00471   0.71   0.002170    0.217%
  329    99.4%  33.9   0.0004   0.00722   0.72   0.002178    0.218%
  330    99.2%  31.3  0.00079    0.0174   0.73   0.002216    0.222%
  331    97.5%  27.0    0.002    0.0918   0.82   0.002488    0.249%
  332    83.2%   6.6      0.2     0.743   1.65   0.004975    0.497%
  333    69.8%   4.1      0.4     0.828   2.55   0.007644    0.764%
  334    52.6%   4.1      0.4     0.822   3.47   0.010391    1.039%
  335    36.1%   4.9     0.32     0.779   4.40   0.013128    1.313%
  336    23.5%   6.5      0.2     0.699   5.28   0.015709    1.571%
  337    15.2%   9.0     0.13     0.575   6.04   0.017926    1.793%
  338    10.6%  11.7    0.063     0.441   6.60   0.019538    1.954%
  339     8.5%  13.5     0.04     0.349   7.01   0.020682    2.068%
  340     7.4%  14.4     0.04     0.303   7.35   0.021611    2.161%
  341     6.7%  14.8    0.032     0.277   7.66   0.022464    2.246%
  342     6.2%  15.0    0.032     0.264   7.95   0.023251    2.325%
  343     5.8%  15.2    0.032     0.257   8.23   0.024004    2.400%
  344     5.4%  15.3    0.032     0.249   8.50   0.024713    2.471%
  345     5.1%  15.4    0.032     0.245   8.76   0.025380    2.538%
  346     4.8%  15.5    0.032     0.237   9.00   0.025997    2.600%
  347     4.6%  15.5    0.032     0.232   9.22   0.026583    2.658%
  348     4.4%  15.4    0.032     0.227   9.44   0.027140    2.714%
  349     4.2%  15.2    0.032     0.224   9.67   0.027694    2.769%
  350     3.9%  14.2     0.04      0.25   9.98   0.028508    2.851%
  351     3.7%  14.1     0.04     0.245  10.29   0.029304    2.930%
  352     3.5%  14.1     0.04     0.238  10.64   0.030225    3.022%
  353     3.3%  14.2     0.04     0.227  10.95   0.031015    3.101%
  354     3.2%  14.3     0.04     0.217  11.23   0.031718    3.172%
  355     3.0%  14.4     0.04     0.208  11.47   0.032301    3.230%
  356     2.9%  14.4     0.04     0.201  11.67   0.032781    3.278%
  357     2.8%  13.9     0.04     0.201  11.86   0.033220    3.322%
  358     2.7%  13.9     0.04     0.198  12.04   0.033644    3.364%
  359     2.6%  13.9     0.04     0.195  12.22   0.034047    3.405%
  360     2.5%  13.9     0.04     0.192  12.38   0.034388    3.439%
  361     2.4%  13.8     0.04     0.192  12.55   0.034756    3.476%
  362     2.4%  13.8     0.04      0.19  12.71   0.035108    3.511%
  363     2.3%  13.8     0.04     0.189  12.86   0.035438    3.544%
  364     2.2%  13.7     0.04     0.187  13.02   0.035765    3.577%
  365     2.2%  13.7     0.04     0.187  13.18   0.036099    3.610%
  366     2.1%  13.6     0.04     0.187  13.33   0.036418    3.642%
  367     2.0%  13.6     0.04     0.188  13.49   0.036745    3.674%
  368     2.0%  13.5     0.04     0.186  13.64   0.037058    3.706%
  369     1.9%  13.5     0.04     0.186  13.78   0.037334    3.733%
  370     1.9%  13.5     0.05     0.186  13.92   0.037613    3.761%
  371     1.8%  13.4     0.05     0.187  14.06   0.037908    3.791%
  372     1.8%  13.3     0.05     0.188  14.22   0.038221    3.822%
  373     1.7%  13.3     0.05     0.189  14.36   0.038506    3.851%
  374     1.7%  13.2     0.05     0.189  14.51   0.038794    3.879%
  375     1.6%  13.2     0.05     0.187  14.65   0.039079    3.908%
  376     1.6%  13.2     0.05     0.186  14.79   0.039338    3.934%
  377     1.6%  13.2     0.05     0.185  14.92   0.039577    3.958%
  378     1.5%  13.2     0.05     0.183  15.05   0.039806    3.981%
  379     1.5%  13.2     0.05     0.183  15.17   0.040039    4.004%
  380     1.5%  13.2     0.05     0.185  15.29   0.040227    4.023%
  381     1.4%  13.1     0.05     0.187  15.41   0.040458    4.046%
  382     1.4%  13.0     0.05     0.186  15.54   0.040683    4.068%
  383     1.3%  13.0     0.05     0.186  15.66   0.040885    4.089%
  384     1.3%  12.9     0.05     0.187  15.77   0.041060    4.106%
  385     1.3%  12.9     0.05     0.186  15.90   0.041298    4.130%
  386     1.2%  12.8     0.05     0.188  16.04   0.041550    4.155%
  387     1.2%  12.8     0.05     0.187  16.18   0.041796    4.180%
  388     1.2%  12.8     0.05     0.187  16.28   0.041955    4.196%
  389     1.2%  12.8     0.05     0.188  16.37   0.042092    4.209%
  390     1.1%  12.8     0.05     0.186  16.48   0.042269    4.227%
  391     1.1%  12.8     0.05     0.184  16.56   0.042343    4.234%
  392     1.1%  12.8     0.05     0.183  16.61   0.042381    4.238%
  393     1.0%  12.7     0.05     0.184  16.70   0.042491    4.249%
  394     1.0%  12.7     0.05     0.183  16.78   0.042589    4.259%

    L   1.0000   0.5000   0.2500   0.1000   1.0000   0.5000   0.2500   0.1000
-----  -------  -------  -------  -------  -------  -------  -------  -------
  395       44       32       13        1    0.00%    0.00%    0.00%    0.00%
  394       45       34       14        1    0.00%    0.00%    0.00%    0.00%
  393       51       38       14        1    0.00%    0.00%    0.00%    0.00%
  392       54       41       16        1    0.00%    0.00%    0.00%    0.00%
  391       57       43       17        1    0.00%    0.00%    0.00%    0.00%
  390       58       44       18        1    0.00%    0.00%    0.00%    0.00%
  389       60       46       19        1    0.00%    0.00%    0.00%    0.00%
  388       60       46       19        1    0.00%    0.00%    0.00%    0.00%
  387       62       46       19        1    0.00%    0.00%    0.00%    0.00%
  386       77       52       19        1    0.00%    0.00%    0.00%    0.00%
  385      118       77       33        1    0.01%    0.00%    0.00%    0.00%
  384      132       88       35        2    0.01%    0.01%    0.00%    0.00%
  383      135       91       35        3    0.01%    0.01%    0.00%    0.00%
  382      142       92       37        3    0.01%    0.01%    0.00%    0.00%
  381      153      100       39        3    0.01%    0.01%    0.00%    0.00%
  380      155      101       41        5    0.01%    0.01%    0.00%    0.00%
  379      159      105       46        5    0.01%    0.01%    0.00%    0.00%
  378      168      106       47        5    0.01%    0.01%    0.00%    0.00%
  377      169      108       49        5    0.01%    0.01%    0.00%    0.00%
  376      170      109       51        5    0.01%    0.01%    0.00%    0.00%
  375      171      111       52        5    0.01%    0.01%    0.00%    0.00%
  374      172      112       54        5    0.01%    0.01%    0.00%    0.00%
  373      172      113       55        5    0.01%    0.01%    0.00%    0.00%
  372      174      114       59        5    0.01%    0.01%    0.00%    0.00%
  371      176      114       60        5    0.01%    0.01%    0.00%    0.00%
  370      176      114       60        5    0.01%    0.01%    0.00%    0.00%
  369      180      115       60        6    0.01%    0.01%    0.00%    0.00%
  368      184      118       60        6    0.01%    0.01%    0.00%    0.00%
  367      187      118       60        6    0.01%    0.01%    0.00%    0.00%
  366      194      123       60        6    0.01%    0.01%    0.00%    0.00%
  365      202      128       63        6    0.01%    0.01%    0.00%    0.00%
  364      204      129       63        6    0.01%    0.01%    0.00%    0.00%
  363      207      131       63        6    0.01%    0.01%    0.00%    0.00%
  362      213      137       63        6    0.01%    0.01%    0.00%    0.00%
  361      226      148       69        7    0.01%    0.01%    0.00%    0.00%
  360      234      154       74        8    0.01%    0.01%    0.00%    0.00%
  359      240      156       75        9    0.01%    0.01%    0.00%    0.00%
  358      246      161       78       10    0.01%    0.01%    0.00%    0.00%
  357      253      167       83       12    0.01%    0.01%    0.00%    0.00%
  356      265      174       88       12    0.02%    0.01%    0.01%    0.00%
  355      288      189       98       15    0.02%    0.01%    0.01%    0.00%
  354      338      227      125       27    0.02%    0.01%    0.01%    0.00%
  353      421      278      164       46    0.02%    0.02%    0.01%    0.00%
  352      931      738      522      226    0.05%    0.04%    0.03%    0.01%
  351     1366     1086      777      335    0.08%    0.06%    0.05%    0.02%
  350     3975     3546     2971     1648    0.23%    0.21%    0.17%    0.10%
  349     4214     3756     3135     1752    0.24%    0.22%    0.18%    0.10%
  348     4392     3923     3285     1858    0.26%    0.23%    0.19%    0.11%
  347     4418     3942     3300     1870    0.26%    0.23%    0.19%    0.11%
  346     4436     3954     3307     1879    0.26%    0.23%    0.19%    0.11%
  345     4454     3960     3314     1887    0.26%    0.23%    0.19%    0.11%
  344     4532     4021     3349     1907    0.26%    0.23%    0.19%    0.11%
  343     4560     4030     3364     1926    0.27%    0.23%    0.20%    0.11%
  342     4591     4046     3388     1965    0.27%    0.24%    0.20%    0.11%
  341     4662     4062     3400     2005    0.27%    0.24%    0.20%    0.12%
  340     4794     4092     3415     2034    0.28%    0.24%    0.20%    0.12%
  339     5093     4129     3443     2087    0.30%    0.24%    0.20%    0.12%
  338     5757     4208     3466     2127    0.33%    0.24%    0.20%    0.12%
  337     7446     4526     3559     2176    0.43%    0.26%    0.21%    0.13%
  336    11557     5791     3994     2298    0.67%    0.34%    0.23%    0.13%
  335    23102    11244     6908     4104    1.34%    0.65%    0.40%    0.24%
  334    52423    27620    14181     6212    3.05%    1.61%    0.82%    0.36%
  333   196219   141621    93003    35653   11.40%    8.23%    5.41%    2.07%
  332  1332075  1223315  1063421   650694   77.42%   71.10%   61.81%   37.82%
  331  1473289  1343713  1158785   710991   85.63%   78.10%   67.35%   41.33%
  330  1490192  1357166  1170397   725734   86.61%   78.88%   68.03%   42.18%
  329  1493841  1360085  1173393   731086   86.83%   79.05%   68.20%   42.49%
  328  1495285  1361152  1174458   732623   86.91%   79.11%   68.26%   42.58%
  327  1496292  1361855  1175212   733837   86.97%   79.16%   68.31%   42.65%
  326  1497391  1362772  1176633   736377   87.03%   79.21%   68.39%   42.80%
  325  1498694  1364282  1178605   739887   87.11%   79.30%   68.50%   43.00%
  324  1500230  1367159  1186305   764659   87.20%   79.46%   68.95%   44.44%
  323  1501918  1370272  1194438   791229   87.30%   79.64%   69.42%   45.99%
  322  1503346  1372480  1198531   800003   87.38%   79.77%   69.66%   46.50%
  321  1504876  1374913  1203462   815660   87.47%   79.91%   69.95%   47.41%
  320  1507112  1377845  1208532   830457   87.60%   80.08%   70.24%   48.27%
  319  1508519  1379791  1212404   843239   87.68%   80.20%   70.47%   49.01%
  318  1509640  1381011  1214193   847524   87.75%   80.27%   70.57%   49.26%
  317  1510661  1381982  1215306   850149   87.80%   80.33%   70.64%   49.41%
  316  1511995  1383162  1216390   851953   87.88%   80.39%   70.70%   49.52%
  315  1518375  1389218  1221887   856649   88.25%   80.75%   71.02%   49.79%
  314  1519830  1390624  1223239   858123   88.34%   80.83%   71.10%   49.88%
  313  1520522  1391474  1224128   859456   88.38%   80.88%   71.15%   49.95%
  312  1521121  1392242  1224899   860782   88.41%   80.92%   71.20%   50.03%
  311  1521645  1393036  1225622   861867   88.44%   80.97%   71.24%   50.09%
  310  1522150  1393713  1226230   862951   88.47%   81.01%   71.27%   50.16%
  309  1522614  1394367  1226840   864016   88.50%   81.05%   71.31%   50.22%
  308  1523148  1395054  1227564   864980   88.53%   81.09%   71.35%   50.28%
  307  1523700  1395919  1228462   866021   88.56%   81.14%   71.40%   50.34%
  306  1524245  1396836  1229292   867155   88.59%   81.19%   71.45%   50.40%
  305  1524808  1397753  1230297   868603   88.63%   81.24%   71.51%   50.49%
  304  1525548  1398895  1231464   870174   88.67%   81.31%   71.58%   50.58%
  303  1526267  1400033  1232635   871787   88.71%   81.37%   71.64%   50.67%
  302  1526942  1401000  1233778   873053   88.75%   81.43%   71.71%   50.74%
  301  1527647  1401844  1234964   874403   88.79%   81.48%   71.78%   50.82%
  300  1528376  1402708  1236169   875917   88.83%   81.53%   71.85%   50.91%
  299  1528929  1403249  1237118   877202   88.87%   81.56%   71.91%   50.99%
  298  1529510  1403803  1238035   878455   88.90%   81.59%   71.96%   51.06%
  297  1530103  1404402  1238944   879949   88.93%   81.63%   72.01%   51.15%
  296  1530612  1404979  1239795   881840   88.96%   81.66%   72.06%   51.26%
  295  1531256  1405558  1240584   883541   89.00%   81.70%   72.11%   51.35%
  294  1532075  1406417  1241801   885975   89.05%   81.75%   72.18%   51.50%
  293  1533036  1407435  1243135   888538   89.11%   81.80%   72.26%   51.64%
  292  1534241  1408679  1244709   891674   89.18%   81.88%   72.35%   51.83%
  291  1535494  1409763  1245756   893129   89.25%   81.94%   72.41%   51.91%
  290  1536697  1410796  1246880   894676   89.32%   82.00%   72.47%   52.00%
  289  1537663  1411836  1247949   896378   89.37%   82.06%   72.53%   52.10%
  288  1538610  1412751  1248932   897998   89.43%   82.11%   72.59%   52.19%
  287  1539586  1413705  1249849   899404   89.49%   82.17%   72.65%   52.28%
  286  1540570  1414841  1250876   900705   89.54%   82.24%   72.71%   52.35%
  285  1541668  1416182  1252018   902251   89.61%   82.31%   72.77%   52.44%
  284  1542996  1418139  1253947   904582   89.68%   82.43%   72.88%   52.58%
  283  1544582  1421113  1256881   908160   89.78%   82.60%   73.05%   52.79%
  282  1546387  1428568  1267854   933281   89.88%   83.03%   73.69%   54.25%
  281  1548403  1436648  1276230   947314   90.00%   83.50%   74.18%   55.06%
  280  1551939  1451485  1285121   952843   90.20%   84.37%   74.70%   55.38%
  279  1553730  1459292  1296152   963904   90.31%   84.82%   75.34%   56.03%
  278  1555271  1463909  1310208   977504   90.40%   85.09%   76.15%   56.82%
  277  1556585  1467528  1329988   999211   90.47%   85.30%   77.30%   58.08%
  276  1557814  1470417  1340799  1023153   90.55%   85.47%   77.93%   59.47%
  275  1558933  1472538  1346242  1055783   90.61%   85.59%   78.25%   61.37%
  274  1559541  1473448  1347870  1060132   90.65%   85.64%   78.34%   61.62%
  273  1560035  1474251  1349101  1062995   90.67%   85.69%   78.41%   61.78%
  272  1560529  1474908  1350099  1065274   90.70%   85.73%   78.47%   61.92%
  271  1561365  1475827  1351166  1067364   90.75%   85.78%   78.53%   62.04%
  270  1561927  1476459  1351866  1068696   90.78%   85.82%   78.57%   62.12%
  269  1562501  1477270  1352986  1070848   90.82%   85.86%   78.64%   62.24%
  268  1563094  1478234  1354392  1073797   90.85%   85.92%   78.72%   62.41%
  267  1563685  1479081  1355690  1076299   90.89%   85.97%   78.80%   62.56%
  266  1564207  1479823  1356684  1078145   90.92%   86.01%   78.85%   62.67%
  265  1564733  1480524  1357513  1079733   90.95%   86.05%   78.90%   62.76%
  264  1565265  1481237  1358385  1081359   90.98%   86.09%   78.95%   62.85%
  263  1565842  1481895  1359350  1083174   91.01%   86.13%   79.01%   62.96%
  262  1566376  1482576  1360310  1085000   91.04%   86.17%   79.07%   63.06%
  261  1566930  1483261  1361238  1086709   91.08%   86.21%   79.12%   63.16%
  260  1567469  1483904  1362026  1088129   91.11%   86.25%   79.17%   63.25%
  259  1568074  1484702  1363017  1089924   91.14%   86.30%   79.22%   63.35%
  258  1568700  1485489  1364049  1091814   91.18%   86.34%   79.28%   63.46%
  257  1569320  1486241  1365105  1093788   91.21%   86.39%   79.34%   63.57%
  256  1569915  1486904  1365845  1095032   91.25%   86.42%   79.39%   63.65%
  255  1570664  1487686  1366742  1096539   91.29%   86.47%   79.44%   63.73%
  254  1571827  1488968  1368211  1098637   91.36%   86.54%   79.52%   63.86%
  253  1572816  1490460  1370694  1103702   91.42%   86.63%   79.67%   64.15%
  252  1573707  1492019  1373479  1109309   91.47%   86.72%   79.83%   64.48%
  251  1574589  1493445  1375983  1114519   91.52%   86.80%   79.98%   64.78%
  250  1575409  1494569  1377522  1117190   91.57%   86.87%   80.07%   64.93%
  249  1576182  1495932  1379576  1121631   91.61%   86.95%   80.19%   65.19%
  248  1576939  1497247  1381426  1125561   91.66%   87.02%   80.29%   65.42%
  247  1577730  1498624  1383515  1130655   91.70%   87.10%   80.41%   65.72%
  246  1578459  1499905  1385519  1135398   91.75%   87.18%   80.53%   65.99%
  245  1579111  1501006  1387229  1139192   91.78%   87.24%   80.63%   66.21%
  244  1579651  1501890  1388653  1142399   91.81%   87.29%   80.71%   66.40%
  243  1580122  1502588  1389917  1145374   91.84%   87.34%   80.79%   66.57%
  242  1580487  1503159  1390920  1147876   91.86%   87.37%   80.84%   66.72%
  241  1580815  1503551  1391512  1149133   91.88%   87.39%   80.88%   66.79%
  240  1581160  1503909  1391930  1150005   91.90%   87.41%   80.90%   66.84%
  239  1581523  1504263  1392369  1150804   91.92%   87.43%   80.93%   66.89%
  238  1581849  1504647  1392893  1151854   91.94%   87.46%   80.96%   66.95%
  237  1582195  1504991  1393371  1152737   91.96%   87.48%   80.99%   67.00%
  236  1582617  1505456  1393917  1153772   91.99%   87.50%   81.02%   67.06%
  235  1583065  1506033  1394728  1155314   92.01%   87.54%   81.07%   67.15%
  234  1583582  1506664  1395530  1156834   92.04%   87.57%   81.11%   67.24%
  233  1584165  1507315  1396349  1158197   92.08%   87.61%   81.16%   67.32%
  232  1584762  1508100  1397388  1160219   92.11%   87.66%   81.22%   67.44%
  231  1585398  1508963  1398441  1162226   92.15%   87.71%   81.28%   67.55%
  230  1586093  1509996  1400069  1165657   92.19%   87.77%   81.38%   67.75%
  229  1586809  1511119  1401655  1169221   92.23%   87.83%   81.47%   67.96%
  228  1587526  1512119  1403253  1172630   92.27%   87.89%   81.56%   68.16%
  227  1588242  1513025  1404797  1175360   92.31%   87.94%   81.65%   68.32%
  226  1588966  1513882  1406159  1178113   92.36%   87.99%   81.73%   68.48%
  225  1589640  1514638  1407375  1180758   92.40%   88.04%   81.80%   68.63%
  224  1590254  1515330  1408339  1182604   92.43%   88.08%   81.86%   68.74%
  223  1590847  1515995  1409215  1184415   92.47%   88.11%   81.91%   68.84%
