usearch v7.0.1090_i86linux32, 4.0Gb RAM (132Gb total), 40 cores
usearch -fastq_stats data/ABCD_combined_reads.fastq -log data/fastq_stats.log 
Started Thu Jan 16 08:25:28 2014

Read length distribution
      L           N      Pct   AccPct
    183           5     0.0%    99.9%
    182           5     0.0%    99.9%
    181           4     0.0%    99.9%
    180           7     0.0%    99.9%
    179          11     0.0%    99.9%
    178           4     0.0%    99.9%
    177           5     0.0%    99.9%
    176           5     0.0%    99.9%
    175          10     0.0%    99.9%
    174          13     0.0%    99.9%
    173           9     0.0%    99.9%
    172           8     0.0%    99.9%
    171           9     0.0%    99.9%
    170           4     0.0%    99.9%
    169           7     0.0%    99.9%
    168           6     0.0%    99.9%
    167           6     0.0%    99.9%
    166           5     0.0%    99.9%
    165           5     0.0%    99.9%
    164           7     0.0%    99.9%
    163           3     0.0%    99.9%
    162           6     0.0%    99.9%
    161           2     0.0%    99.9%
    160           1     0.0%    99.9%
    159           1     0.0%    99.9%
    158           4     0.0%    99.9%
    157           1     0.0%    99.9%
    156           2     0.0%    99.9%
    155           2     0.0%    99.9%
    154           3     0.0%    99.9%
    153           3     0.0%    99.9%
    152           1     0.0%    99.9%
    151           2     0.0%    99.9%
    150           3     0.0%    99.9%
    149           1     0.0%    99.9%
    148           1     0.0%    99.9%
    147           1     0.0%    99.9%
    146           2     0.0%    99.9%
    145           1     0.0%    99.9%
    144           1     0.0%    99.9%
    143           3     0.0%    99.9%
    141           3     0.0%    99.9%
    140           1     0.0%    99.9%
    139           3     0.0%    99.9%
    138           4     0.0%    99.9%
    137           3     0.0%    99.9%
    136           1     0.0%    99.9%
    135           2     0.0%    99.9%
    134           8     0.0%    99.9%
    133          13     0.0%    99.9%
    132           6     0.0%    99.9%
    131           2     0.0%    99.9%
    130          10     0.0%    99.9%
    129           9     0.0%    99.9%
    128          14     0.0%    99.9%
    127           6     0.0%    99.9%
    126           1     0.0%    99.9%
    125           4     0.0%    99.9%
    124           5     0.0%    99.9%
    123           2     0.0%    99.9%
    122           4     0.0%    99.9%
    121          10     0.0%    99.9%
    120           6     0.0%    99.9%
    119           3     0.0%    99.9%
    118           6     0.0%    99.9%
    117           6     0.0%    99.9%
    116           4     0.0%    99.9%
    115           5     0.0%    99.9%
    114           6     0.0%    99.9%
    113           6     0.0%    99.9%
    112           5     0.0%    99.9%
    111           8     0.0%    99.9%
    110           6     0.0%    99.9%
    109           6     0.0%    99.9%
    108           6     0.0%    99.9%
    107           4     0.0%    99.9%
    106           5     0.0%    99.9%
    105           9     0.0%    99.9%
    104           4     0.0%    99.9%
    103          14     0.0%    99.9%
    102          15     0.0%    99.9%
    101           6     0.0%    99.9%
    100           6     0.0%    99.9%
